faculty,course,level,award,duration
Applied Sciences,Master of Science in Environmental Protection and Management (MEPM) ,Postgraduate,Masters  Degree,2
Engineering,Master of Science in Infrastructure Development,Postgraduate,Masters  Degree,2
Engineering,Master of Science in Infrastructure Development and Management (IDM) ,Postgraduate,Masters  Degree,2
Applied Sciences,Master of Science in Sanitation,Postgraduate,Masters  Degree,2
Engineering,Master of Science in Sustainable Energy,Postgraduate,Masters  Degree,2
Engineering,"Master of Science in Sustainable Engineering Management (Mining, Faculties and Water)",Postgraduate,Masters  Degree,2
Engineering,Master of Science in Sustainable Engineering Management (MSEM) ,Postgraduate,Masters  Degree,2
Applied Sciences,Master of Science in Water Resources and Supply Management (MWRSM) ,Postgraduate,Masters  Degree,2
Education and Media Studies,Master of Vocational & Technical Education (MVTE),Postgraduate,Masters  Degree,2
Engineering,PhD and  Master of Philosophy in  Engineering (Power and Machines),Postgraduate,Doctorate  Degree,4
Engineering,PhD and  Master of Philosophy in  Engineering (Sustainable Engineering Management),Postgraduate,Doctorate  Degree,4
Engineering,PhD and  Master of Philosophy in  Engineering (Transport Systems),Postgraduate,Doctorate  Degree,4
Engineering,PhD and  Master of Philosophy in Engineering (Telecommunications),Postgraduate,Doctorate  Degree,4
Applied Sciences,PhD and Master of Philosophy in Applied Sciences (Environmental Sanitation),Postgraduate,Doctorate  Degree,4
Applied Sciences,PhD and Master of Philosophy in Applied Sciences (Renewable Energy) ,Postgraduate,Doctorate  Degree,4
Engineering,PhD and Master of Philosophy in Engineering (Industrial Management),Postgraduate,Doctorate  Degree,4
Engineering,PhD and Master of Philosophy in Engineering (Infrastructure Development & Management),Postgraduate,Doctorate  Degree,4
Applied Sciences,PhD In Applied Sciences (Industrial Process Technology) ,Postgraduate,Doctorate  Degree,4
Applied Sciences,PhD in Applied Sciences (Information Technology),Postgraduate,Doctorate  Degree,4
Applied Sciences,PhD in Applied Sciences (Public Health Engineering),Postgraduate,Doctorate  Degree,4
Commerce,PhD in Entrepreneurship,Postgraduate,Doctorate  Degree,4
Commerce,PhD in Financial Management,Postgraduate,Doctorate  Degree,4
Commerce,PhD in Strategic Management,Postgraduate,Doctorate  Degree,4
