title,article,date,author,link
Loans Board-NCHE conducts open public engagement session at MUBAS,Pangano Baluwa,"September 17, 2022","The event was presided Director of Students affairs at MUBAS, Getrude Sitolo Banda, the guest speakers at the event included Sera Manyetera Chief Quality Audit officer at National Centre for Higher Education and Milly Kasunda Communications Manager for Loans Board.Monitored by MBC the highly interactive event saw a number of issues raised such as selection criteria for public university and loans board, demarcation of the two aforementioned boards as well as issues of repayments for loans accessed by beneficiaries,Students were also given a chance of raising their concerns to the institutions and they were provided with a desired response.In her remarks Milly Kasunda stressed that the visit was of significance because as Malawi is considered as a poor country and most students selected are from needy homes as such the board was established so as to provide financial assistance to all students,She further said that students have been made to understand on the products offered by NCHE, the eligibility criteria, and defining needy students and types of documents needed for the loan application form.Her remarks were echoed by Manyetera who stressed that over the years there has been a misunderstanding from students on the roles between the two boards as such the engagement has resolved the anomalies with ease”MUBAS students representative Franklin Kadewere hailed the two boards for such an initiative as students have been properly fed with information which has been limited for a while.",http://www.mubas.ac.mw/news/loans-board-nche-conducts-open-public-engagement-session-at-mubas-17-09-2022
MUBAS-UNDP conducts career talk and gender issues to senior students ,Pangano Baluwa,"September 14, 2022","The event was graced by UNDP Resident Representative Shigeki Komatsubara and MUBAS Director of Student’s Affairs Dr Getrude Sitolo Banda.Apart from women empowerment which was the centre topic of the day, students were also enlightened on issues of career prospects, (pursuing UNDP careers, CV writing tackling interviews and digital communication) and how they can contribute to the social economic development of Malawi through innovations, information technology, skill development and self-confidence.In his remarks Komatsambura emphasised UNDP commitment in women empowerment narrating that women in the country plays a pivot role as far as social economical aspect is concerned.“Women are the drivers of social economic development of Malawi as such UNDP is committed in empowering them on all spheres of life. This can be seen in various projects that UNDP is championing together with MUBAS as students from this institution have a lot of talents worthy for exposure,” He said.Speaking at the event, Sitolo Banda conquered with Komatsambura acknowledging the role women play in the society while appreciating support that UNDP render to MUBAS in women empowerment.Racheal Kaduwa students’ representative applauded UNDP for coming up with such a program as saying students have been stirred.” We have been made to understand that our education can make a huge difference in Malawi and as women we can achieve anything, the opportunities learnt today will be put into consideration,” Kaduwa said.",http://www.mubas.ac.mw/news/mubas-undp-conducts-career-talk-and-gender-issues-to-senior-students-14-09-2022
UNIMA graduates over a thousand students,Rhobin Phwetekere,"September 10, 2022","Some of the high profile figures that spoke includes Minister of Education Agness NyaLonje as well as Information Minister Gospel Kazako.Vice Chancellors drawn from all public universities also spoke at the ceremony.In her remarks, NyaLonje congratulated the graduates for their effort and encouraged them to embrace the concept of investing their skills in country’s development.She further assured all the Universities that government will continue supporting higher education in producing successful graduates.Before awarding the certificates, Diplomas and degrees, the Vice Chancellor of University of Malawi, Prof. Samson Sajidu, highlighted on how the graduates should conceptualize the act of adding value to the nations development.He also urged universities to champion excellence for the country to achieve the 2063 development blueprint.In total, 671 males and 483 females graduated on the day.",http://www.mubas.ac.mw/news/unima-graduates-over-a-thousand-students-10-09-2022
MUBAS Innovation Hub conducts graduation ceremony ,Pangano Baluwa,"September 6, 2022","The event took place at ODeL conference center on Saturday 3rd September and was presided over by the acting director of ICT at MUBAS, Dr Patrick Chikumba.In his opening remarks, MUBAS Innovation Hub manager Mr. Umali Leonard stated that the Hello tomorrow program was initiated as a way of creating innovators for tomorrow through digital skills training and other related activities for the kids between the ages of 6 and 17. ""We believe for Malawi to achieve its 2063 vision, which is 41 years away, we must invest in children now so that 10 years from now, we have a pool of highly innovative and talented youths who can use the last 30 years of Malawi 2063 to transform Malawi into an inclusively wealthy and self-reliant nation through innovations and entrepreneurship, which in turn, will create more jobs”. This aligns with MUBAS's vision, as the university promotes innovation and entrepreneurship throughout all of its programmes.Dr. Patrick Chikumba cemented the remarks by the Hub’s manager by saying a Chichewa adage “Kuona fisi sikukula koma kuyenda usiku”. He expanded this by saying exposing the kids to computer technologies at early stage will have a more lasting impact to our nation.A parent representative, Mr. Kawaza, who enrolled three kids into the program, thanked MUBAS Innovation Hub for the program and encouraged other parents to send their kids. He said he has seen much improvement in the children’s behaviour back home as they are now more attracted to computer screens as compared to TV screens.Two children Ulemu Mvula, 10 and Shemaiah Dunga, 13 demonstrated some concepts they learnt during the program.A total of 14 (9 boys and 5 girls) children graduated and they were awarded with certificates of attendance. Ulemu Mvula, Shemaiah Dunga and Alinafe Kawaza were also awarded cash prizes as top performers.The function also marked the opening of a new cohort, which will start classes on 10th September 2022.",http://www.mubas.ac.mw/news/mubas-innovation-hub-conducts-graduation-ceremony-06-09-2022
MUBAS in collaboration talks with Dundee University,Pangano Baluwa,"August 5, 2022","The collaboration talks which was held on Monday 1st August 2022, was led by MUBAS Vice Chancellor Associate Professor Nancy Chitera and Vice Chancellor of Dundee University Professor Iain Gillespie.In her remarks, Associate Professor Chitera said the collaboration is timely as MUBAS is positioning itself as an international university. She said the collaboration will benefit MUBAS through promotion of research, externships, innovations, entrepreneurship and industrialization that will help improve the university ranking.The MUBAS Vice Chancellor also echoed on how the collaboration will contribute towards MUBAS diversification drive for the introduction of more postgraduate programmes.Chitera’s sentiments were shared by Dundee University Vice Chancellor Professor Iain Gillespie who applauded the two universities for coming up with creative ideas which will facilitate the collaboration.Professor Iain Gillespie was quick to acknowledge MUBAS ideas of innovation and industrialization which he described as “worthy of consideration and key indicators of social economic development”.",http://www.mubas.ac.mw/news/mubas-in-collaboration-talks-with-dundee-university-05-08-2022
MUBAS and ICAM in MOU to promote Quality Human Capital development ,Pangano Baluwa,"July 21, 2022","Speaking at the signing ceremony, MUBAS Vice Chancellor, Associate Professor Nancy Chitera said the partnership would help the two institutions easily work towards realizing expectations of Malawi Vision 2063. “MUBAS and ICAM will work together in human capital development which is one of the enablers to realise Malawi 2063. Malawi needs well trained Accounrtants and personnel to support development initiatives across the country and this is the core of this agreement,” said Chitera.According to Chitera, the MoU was in line with provisions of the MUBAS strategic plan and the National Education Sector and Investment Plan (NESIP) which among others encourage innovation, creativity and entrepreneurship as crucial in developing solutions to social challenges.On his part, the Chief Executive Officer for ICAM, Dr Francis Gondwe said, “Partnering with a credible and well established institution like MUBAS will help ICAM students get quality education from well-trained experts and have access to quality education from all angles of the country and thereby reduce costs.”Gondwe further pointed out that with the MoU students who used to rely on online tuition offered by international boards at Technician Diploma Levels 1, 2 and 3 will now be able to get quality tuition at MUBAS campuses through the Continuing Education Centre (CEC).Acting Director of the CEC at MUBAS, Victor Chikoti, said CEC campuses in Blantyre, Lilongwe, Mzuzu and Salima will now be offering all ICAM programs and thereby widening access to quality education. Apart from providing tuition, MUBAS and ICAM will also be providing Continuing Professional Development (CPD) through CEC.Among others, the MoU will also see ICAM and MUBAS through CEC conducting research, consultancies, short courses, career talks and awareness campaigns together and sharing infrastructure and resources.At the event, the Vice Chancellor of MUBAS and the CEO of ICAM signed and exchanged copies of the MoU to mark the beginning of this business partnership.",http://www.mubas.ac.mw/news/mubas-and-icam-in-mou-to-promote-quality-human-capital-development-21-07-2022
US AMBASSADOR stirred by MUBAS innovations,Rhobin Phwetekele,"July 21, 2022","Ambassador Young said this on Tuesday 19 July 2022, when he visited MUBAS main campus in Blantyre to appreciate innovations at the university and strengthen partnership with the university.The US Ambassador toured the MUBAS Design Studio and Library to appreciate innovations being advanced by the university. He had an audience with students who made demonstrations and presentations of various innovations projects.In his remarks, Ambassador David Young said he was very excited and inspired with the innovations which he said will go a long way in promoting technological advancement and shaping national development.On strengthening the partnership between the US Embassy and MUBAS, he said the US embassy seeks to engage into and sustain partnerships that seeks to improve every sector including the education sector so as to contribute towards economic and technological advancement in Malawi.Speaking at the event, MUBAS Vice Chancellor, Associate Professor Nancy Chitera, shared MUBAS strategic goals that are aimed at promoting internalization and strengthen partnerships with different stakeholders and universities in order to move MUBAS up on the international ranks.Chitera indicated that such partnerships and collaborations will help in the attainment of the university's mission and vision that strategically resonates with Malawi Vision 2063.The MUBAS Vice Chancellor also presented a gift to the US Ambassador",http://www.mubas.ac.mw/news/us-ambassador-stirred-by-mubas-innovations-21-07-2022
ESCOM AWARDS 19 FEMALE ENGINEERING STUDENTS AT MUBAS AND MUST,Paul Mphepo,"July 12, 2022","ESCOM AWARDS 19 FEMALE ENGINEERING STUDENTS AT MUBAS AND MUSTIn its commitment to promote girl child education and help the country to have well educated and influential women in different government departments and the private sector, Electricity Supply Corporation of Malawi (ESCOM) awarded scholarships to best performing female engineering students for the Malawi University of Business and Appliances (MUBAS) and Malawi University of Science and Technology (MUST).Speaking at the presentation on Thursday 7 July, 2022 at ESCOM Mpemba Training Centre, MUBAS Vice-Chancellor, Associate Professor Nancy Chitera thanked ESCOM for the gesture shown to the students, saying the assistance will go a long way in bridging the existing gap of female and male engineers in the country.Chitera added that since the introduction of the scholarship program in 2017, there has been a tremendous increase in number of female engineering students - adevelopment which she described as a great progress to help female engineering students to work hard in their studies.I must admit here that, we have a lot of capable female students in the country, who can make it as great engineers, but majority of them lack support from the corporate world. We just thank ESCOM for coming up with this initiative because they are helping to build a better Malawi as they say educating a girl child is like educating the nation, she said.ESCOMs Social and Gender Inclusion Manager, Eluby Chiyenda said the program, which was started in 2017, covers tuition fees mainly targeting female students to increase the number of qualified female engineers in the market so that when the Corporation wants to recruit, it should find suitably qualified ladies on the labour market.Chiyenda said: What we used to face in the past is that we could not get the numbers that we were looking for. So, we moved into a strategy to help in bringing up female engineers by awarding scholarships to best female engineering students”.sourced: Nyasatimes",http://www.mubas.ac.mw/news/escom-awards-19-female-engineering-students-at-mubas-and-must-12-07-2022
MUBAS signs MOA with NCIC ,Pangano Baluwa,"May 31, 2022","Malawi University of Business and Applied Science through the faculty of Built Environment signed a memorandum of agreement with National Construction Industry Council of Malawi for curriculum development and implementation for clerk of works for a diploma in construction management programme.The ceremony took place at MUBAS main campus and was presided by Associate Professor Nancy Chitera, Vice chancellor MUBAS and CEO for NCIC Engineer Gerald Khonje.In her remarks Vice Chancellor for MUBAS Associate Professor Nancy Chitera applauded NCIC for coming up with the initiative, she further said “the Diploma program is a big milestone for vision 2063 and is also in line with MUBAS vision which centers at creativity, engaging, entrepreneurship and research, the program will alleviate gaps which have been identified by the stakeholders in construction industry.In his remarks NCIC CEO Engineer Gerald Khonje said “MUBAS has ability to develop well qualified persons in construction industry, however there is a need to close up gaps in the industry as well as reviewing programs which lacked the desired expectations.The Dean of Built Environment acknowledged the gap and assured NCIC of MUBAS efforts in alleviating the gaps in which internship and externship are at fore front as key strategies used in closing the gaps.Since the diploma programs were phased out there has been gaps in construction industry as a lot of foremen and artisan lack the desired expertise, the MOA has indeed come in time as it will address the problem.",http://www.mubas.ac.mw/news/mubas-signs-moa-with-ncic-31-05-2022
MUBAS mentors Mulanje secondary school  ,Pangano Baluwa,"May 11, 2022","Mathematics for ages has been perceived as a difficult subject by students in all spheres of academics, in view of this, the Society of Mathematical Science at MUBAS organised a mentorship activity at Mulanje Secondary School.The activity was targeting Mulanje secondary students with an aim of erasing fears towards Mathematics, in his remarks Dr P. Phepa stressed that Mathematics are essential in every aspect of life and should be perceived as so.He then encouraged students to have a positive attitude towards Mathematics as they are not difficult as perceived, his sentiments were shared by Williams Banda President of Mathematical Science at MUBAS who empowered students to excel in Mathematics as it is a key subject towards the social economic development of Malawi.The mentorship programme then included a number of activities which included Mathematics Quiz and distribution of gifts to the participants. in his remarks Mr Gunsalu a Mathematics teacher at the campus who was the master of ceremony appreciated MUBAS for organising th event.MUBAS students have been for so long participating in community outreach as one way of contributing to the success of Malawi.",http://www.mubas.ac.mw/news/mubas-mentors-mulanje-secondary-school-11-05-2022
KWERA distributes 36 Laptops to MUBAS students,Rhobin Phwetekele,"May 11, 2022","Kwera, a financing non-governmental organisation that support public universities students in Malawi, has presented 36 laptops to needy students at Malawi University of Business and Applied Sciences (MUBAS).The laptops were handed over by Kwera Project Manager Richard Kwera. Mr Kwera indicated that the donation has come after noticing the need for laptops among public universities students for assignments, electronic handouts and online lessons.The guest speaker at event Dr Gertrude Sitolo Banda, MUBAS Acting Director of Students Affairs, applauded the financing organisation for the timely donation.Dr Sitolo Banda urged the students to take good care of the laptops. She added that the laptops should act as a strong motivation towards attainment of quality academic performance by the students.One of the beneficiaries, Selina Sebvala a third year Bachelor of Banking and Finance student at MUBAS who was filled with joy, described the initiative as a huge relief.Sebvala said a laptop is a must have gadget for a university student if academic excellence for all university students is to be achieved.In total, the event saw Kwera distributing 180 laptops to students from different universities. Kwera also provides online entrepreneurship skills, academic fees, data bundles and at times accommodation rentals to various public university students.",http://www.mubas.ac.mw/news/kwera-distributes-36-laptops-to-mubas-students-11-05-2022
‘Rising through the challenge’ Highlight MUBAS Auditing day,Pangano Baluwa,"May 11, 2022","Internal auditing day, has always been a day that has engaged the accounting students and all auditing partners in different sectors of the business and industries. This year’s event was highlighted with the theme “Rising through the challenge”The event had a high a number of important personnel in the auditing profession such as, Mr. Anthony Baluti Chief Internal Auditor MBC, who made a presentation on ‘Auditor’s role in an organisation, IT Auditing manager at TNM Mr Hestings Wakhuta who explored the relationship between IT and Auditing. Founder of David Hastings associates, Director of finance and administration at University of Maryland, also had their presentations which inspired Auditing scholars perusing their studies at MUBAS with the theme “Raising the Challenge”The presentations also tackled the benefits and challenges of Auditing as a profession and how MUBAS students can alleviate the challenges with ease.In his remarks Assistant Registrar for MUBAS, Mr. Namagowa said “the event is of necessity and its effective in the auditing profession as it will benefit both the administration at MUBAS and students respectively”The event saw a number of speeches from, IPP of Institute of Internal Auditors and Chairperson of the Academic Relations Committee Mr. Ackson Banda, final year auditing representative, Society of Internal Auditors Students (SIAS) Representative, Michelle Mwampashi.The event, at last saw guest of honours presenting awards to the outstanding students in the accounting and internal auditing programs.",http://www.mubas.ac.mw/news/rising-through-the-challenge-highlight-mubas-auditing-day-11-05-2022
Food Science Technology Students Tours Malawi Mangoes,Pangano Baluwa,"May 5, 2022","Industry tours have been described as key in helping Malawi University of Business and Applied Sciences (MUBAS) students to put theory into practice.The remarks were made by Dr Madalitso Tsakama, Senior Lecturer in Food Science and Technology, during a recent industry tour by students in the department of Food Science and technology at Malawi Mangoes in Salima District.Dr Tsakama said the tour was of great essence as it accorded the students a chance to appreciate practical aspects of the theory they undergo in classroom. He added that such practical visits are an integral part of teaching and learning for Food Science and Technology at MUBAS.The industrial tour saw third year students pursuing Bachelor of Science in Food Science and Technology appreciate the food processing factory at Malawi Mangoes.The tour was led by Mr Fabiano Chandama, Site Manager and Mr Kenala Tembenuzeni, Quality Assurance Supervisor for Malawi Mangoes. The students interacted with Malawi Mangoes officials who shared their expertise on food processing.Among the activities students interacted with workers at the company on different practical food processing activities including production and packaging using modern technology.",http://www.mubas.ac.mw/news/food-science-technology-students-tours-malawi-mangoes-05-05-2022
